L. NO.,NEIGHBOURHOOD / LOCALITY,POSTAL CODES,CITY
1,Ahuntsic Central,H2C,Montreal
2,Ahuntsic East,H2M,Montreal
3,Ahuntsic North,H2B,Montreal
4,Ahuntsic Southeast,H2N,Montreal
5,Ahuntsic Southwest,H3L,Montreal
6,Anjou East,H1K,Montreal
7,Anjou West,H1J,Montreal
8,Auteuil Northeast,H7J,Laval
9,Auteuil South,H7K,Laval
10,Auteuil West,H7H,Laval
11,Beaconsfield,H9W,Montreal
12,Cartierville Central,H4J,Montreal
13,Cartierville Northeast,H3M,Montreal
14,Cartierville Southwest,H4K,Montreal
15,Centre-Sud North,H2K,Montreal
16,Centre-Sud South,H2L,Montreal
17,Chomedey East,H7V,Laval
18,Chomedey Northeast,H7S,Laval
19,Chomedey Northwest,H7T,Laval
20,Chomedey South,H7W,Laval
21,Concordia University,H3G,Montreal
22,Côte Saint-Luc East,H4V,Montreal
23,Côte Saint-Luc West,H4W,Montreal
24,Côte-des-Neiges East,H3V,Montreal
25,Côte-des-Neiges North,H3S,Montreal
26,Côte-des-Neiges Northeast,H3T,Montreal
27,Côte-des-Neiges Southwest,H3W,Montreal
28,Dollard-des-Ormeaux East,H9B,Montreal
29,Dollard-des-Ormeaux Northwest,H9A,Montreal
30,Dollard-des-Ormeaux Southwest,H9G,Montreal
31,Dorval Central,H4Y,Montreal
32,Dorval Island(L'Île-Dorval),H9S,Montreal
33,Dorval Outskirts,H9P,Montreal
34,Downtown Montreal East,H3B,Montreal
35,Downtown Montreal North,H3A,Montreal
36,Downtown Montreal Northeast,H2Z,Montreal
37,Downtown Montreal Southwest,H3H,Montreal
38,Duvernay,H7E,Laval
39,Duvernay-Est,H7A,Laval
40,Fabreville,H7P,Laval
41,Griffintown,H3C,Montreal
42,Hampstead,H3X,Montreal
43,Hochelaga,H1W,Montreal
44,Îles Laval,H7Y,Laval
45,Kirkland,H9J,Montreal
46,La Petite-Patrie Northeast,H2G,Montreal
47,La Petite-Patrie Southwest,H2S,Montreal
48,Lachine East,H8S,Montreal
49,Lachine West,H8T,Montreal
50,LaSalle,H8N,Montreal
51,LaSalle Southeast,H8P,Montreal
52,LaSalle West,H8R,Montreal
53,Laval-des-Rapides,H7N,Laval
54,Laval-sur-le-Lac,H7R,Laval
55,Le Plateau-Mont-Royal North,H2H,Montreal
56,Le Plateau-Mont-Royal North Central,H2J,Montreal
57,Le Plateau-Mont-Royal South Central,H2W,Montreal
58,Le Plateau-Mont-Royal Southeast,H2X,Montreal
59,Le Plateau-Mont-Royal West,H2T,Montreal
60,L'Île-Bizard Northeast,H9C,Montreal
61,L'Île-Bizard Southwest,H9E,Montreal
62,Little Burgundy(La Petite-Bourgogne),H3J,Montreal
63,Maisonneuve,H1V,Montreal
64,Mercier North,H1L,Montreal
65,Mercier Southeast,H1N,Montreal
66,Mercier West,H1M,Montreal
67,Montreal West,H4X,Montreal
68,Montréal-Est,H1B,Montreal
69,Montréal-Nord North,H1G,Montreal
70,Montréal-Nord South,H1H,Montreal
71,Mount Royal Central,H3R,Montreal
72,Mount Royal North,H3P,Montreal
73,Mount Royal South,H4P,Montreal
74,Notre Dame Island (Île Notre-Dame),H3C,Montreal
75,Notre-Dame-de-Grâce  Northeast,H4A,Montreal
76,Notre-Dame-de-Grâce Southwest,H4B,Montreal
77,Nuns' Island (Île des Sœurs),H3E,Montreal
78,Old Montreal,H2Y,Montreal
79,Outremont,H2V,Montreal
80,Park Extension,H3N,Montreal
81,Pierrefonds,H8Z,Montreal
82,Pierrefonds,H9H,Montreal
83,Pierrefonds-Roxboro,H8Y,Montreal
84,Place Bonaventure,H5A,Montreal
85,Place Desjardins,H5B,Montreal
86,Pointe-aux-Trembles,H1A,Montreal
87,Pointe-Claire,H9R,Montreal
88,Pointe-Saint-Charles,H3K,Montreal
89,Pont-Viau,H7G,Laval
90,Rivière des Prairies Northeast,H1C,Montreal
91,Rivière des Prairies Southwest,H1E,Montreal
92,Rosemont Central,H1X,Montreal
93,Rosemont North,H1T,Montreal
94,Rosemont South,H1Y,Montreal
95,Saint Helen's Island (Île Sainte-Hélène),H3C,Montreal
96,Sainte-Anne-de-Bellevue,H9X,Montreal
97,Sainte-Dorothée,H7X,Laval
98,Sainte-Geneviève,H9H,Montreal
99,Sainte-Rose,H7L,Laval
100,Saint-François,H7B,Laval
101,Saint-Henri,H4C,Montreal
102,Saint-Laurent Central,H4R,Montreal
103,Saint-Laurent East,H4M,Montreal
104,Saint-Laurent Inner Northeast,H4L,Montreal
105,Saint-Laurent Outer Northeast,H4N,Montreal
106,Saint-Laurent Southeast,H4T,Montreal
107,Saint-Laurent Southwest,H4S,Montreal
108,Saint-Leonard North,H1P,Montreal
109,Saint-Leonard Southeast,H1S,Montreal
110,Saint-Leonard West,H1R,Montreal
111,Saint-Michel,H2A,Montreal
112,Saint-Michel West,H1Z,Montreal
113,Saint-Vincent-de-Paul,H7C,Laval
114,Senneville,H9K,Montreal
115,Tour de la Bourse,H4Z,Montreal
116,Université de Montréal,H3C,Montreal
117,Verdun North,H4G,Montreal
118,Verdun South,H4H,Montreal
119,Ville Saint-Pierre,H8R,Montreal
120,Ville-Émard,H4E,Montreal
121,Villeray Northeast,H2E,Montreal
122,Villeray Southeast,H2R,Montreal
123,Villeray West,H2P,Montreal
124,Vimont,H7M,Laval
125,Westmount North,H3Y,Montreal
126,Westmount South,H3Z,Montreal
